scenario_id,title,ticker,asset_name,asset_type,scenario_date,initial_investment_usd,price_on_date_usd,value_today_usd,total_return_pct,cagr_pct,years_held,dividends_reinvested,inflation_adjusted,last_updated,calculator_url
amzn-ipo-1997,"$1,000 in Amazon at IPO (1997)",AMZN,Amazon.com Inc.,stock,1997-05-15,1000,1.96,2050000,204900,37.8,27,false,false,2025-01-01,https://fomodejavu.com/?ticker=AMZN&date=1997-05-15&amount=1000
aapl-iphone-2007,"$1,000 in Apple on iPhone Launch Day (2007)",AAPL,Apple Inc.,stock,2007-01-09,1000,11.97,43000,4200,23.9,18,true,false,2025-01-01,https://fomodejavu.com/?ticker=AAPL&date=2007-01-09&amount=1000
tsla-2012,"$1,000 in Tesla at Start of 2012",TSLA,Tesla Inc.,stock,2012-01-03,1000,6.33,50000,4900,33.8,13,false,false,2025-01-01,https://fomodejavu.com/?ticker=TSLA&date=2012-01-03&amount=1000
nvda-2015,"$1,000 in NVIDIA at Start of 2015",NVDA,NVIDIA Corporation,stock,2015-01-02,1000,1.34,108000,10700,49.8,10,true,false,2025-01-01,https://fomodejavu.com/?ticker=NVDA&date=2015-01-02&amount=1000
nflx-2012,"$1,000 in Netflix at Start of 2012",NFLX,Netflix Inc.,stock,2012-01-03,1000,9.60,21000,2000,24.8,13,false,false,2025-01-01,https://fomodejavu.com/?ticker=NFLX&date=2012-01-03&amount=1000
msft-nadella-2014,"$1,000 in Microsoft on Nadella Day (2014)",MSFT,Microsoft Corporation,stock,2014-02-04,1000,36.35,19000,1800,29.2,11,true,false,2025-01-01,https://fomodejavu.com/?ticker=MSFT&date=2014-02-04&amount=1000
googl-ipo-2004,"$1,000 in Google at IPO (2004)",GOOGL,Alphabet Inc. (Google),stock,2004-08-19,1000,85.00,78000,7700,23.7,21,false,false,2025-01-01,https://fomodejavu.com/?ticker=GOOGL&date=2004-08-19&amount=1000
meta-ipo-2012,"$1,000 in Meta (Facebook) at IPO (2012)",META,Meta Platforms Inc.,stock,2012-05-18,1000,38.00,15200,1420,22.6,13,false,false,2025-01-01,https://fomodejavu.com/?ticker=META&date=2012-05-18&amount=1000
btc-2012,"$1,000 in Bitcoin at Start of 2012",BTC,Bitcoin,crypto,2012-01-01,1000,5.27,19000000,1899900,153.0,13,false,false,2025-01-01,https://fomodejavu.com/?ticker=BTC&date=2012-01-01&amount=1000
btc-halving-2016,"$1,000 in Bitcoin After Second Halving (2016)",BTC,Bitcoin,crypto,2016-07-10,1000,650.00,150000,14900,83.7,9,false,false,2025-01-01,https://fomodejavu.com/?ticker=BTC&date=2016-07-10&amount=1000
eth-launch-2015,"$1,000 in Ethereum at Launch (2015)",ETH,Ethereum,crypto,2015-08-07,1000,2.83,1150000,114900,122.0,10,false,false,2025-01-01,https://fomodejavu.com/?ticker=ETH&date=2015-08-07&amount=1000
btc-2020,"$1,000 in Bitcoin at Start of 2020",BTC,Bitcoin,crypto,2020-01-01,1000,7200.00,13500,1250,68.2,5,false,false,2025-01-01,https://fomodejavu.com/?ticker=BTC&date=2020-01-01&amount=1000
spy-2009-bottom,"$1,000 in S&P 500 at 2009 Market Bottom",SPY,SPDR S&P 500 ETF Trust,etf,2009-03-09,1000,68.11,9800,880,15.9,16,true,false,2025-01-01,https://fomodejavu.com/?ticker=SPY&date=2009-03-09&amount=1000
spy-2000-peak,"$1,000 in S&P 500 at Dot-Com Peak (2000)",SPY,SPDR S&P 500 ETF Trust,etf,2000-01-03,1000,145.94,5400,440,8.2,25,true,false,2025-01-01,https://fomodejavu.com/?ticker=SPY&date=2000-01-03&amount=1000
qqq-2003,"$1,000 in NASDAQ-100 After Dot-Com Crash (2003)",QQQ,Invesco QQQ Trust,etf,2003-01-02,1000,24.53,25000,2400,14.7,22,true,false,2025-01-01,https://fomodejavu.com/?ticker=QQQ&date=2003-01-02&amount=1000
vti-2004-20yr,"$1,000 in Total US Stock Market (2004)",VTI,Vanguard Total Stock Market ETF,etf,2004-01-02,1000,56.23,9500,850,11.9,21,true,false,2025-01-01,https://fomodejavu.com/?ticker=VTI&date=2004-01-02&amount=1000
jnj-drip-2004,"$10,000 in Johnson & Johnson with DRIP (2004)",JNJ,Johnson & Johnson,stock,2004-01-02,10000,51.66,85000,750,11.1,21,true,false,2025-01-01,https://fomodejavu.com/?ticker=JNJ&date=2004-01-02&amount=10000
ko-drip-2004,"$10,000 in Coca-Cola with DRIP (2004)",KO,The Coca-Cola Company,stock,2004-01-02,10000,50.75,56000,460,8.7,21,true,false,2025-01-01,https://fomodejavu.com/?ticker=KO&date=2004-01-02&amount=10000
o-drip-2010,"$10,000 in Realty Income REIT with DRIP (2010)",O,Realty Income Corporation,stock,2010-01-04,10000,21.53,38000,280,7.5,15,true,false,2025-01-01,https://fomodejavu.com/?ticker=O&date=2010-01-04&amount=10000
latte-factor-spy-2014,"Latte Factor: $5/Day into S&P 500 (2014)",SPY,SPDR S&P 500 ETF Trust,etf,2014-01-01,20075,various,38000,89.3,11.8,11,true,false,2025-01-01,https://fomodejavu.com/?ticker=SPY&date=2014-01-01&amount=152&frequency=monthly
annual-1000-age18-spy,"$1,000/Year in S&P 500 from Age 18 (2004)",SPY,SPDR S&P 500 ETF Trust,etf,2004-01-02,21000,various,67000,219.0,12.1,21,true,false,2025-01-01,https://fomodejavu.com/?ticker=SPY&date=2004-01-02&amount=1000&frequency=annual
roth-ira-max-spy-2010,"Max Roth IRA Every Year in S&P 500 (2010)",SPY,SPDR S&P 500 ETF Trust,etf,2010-01-04,91500,various,195000,113.1,12.4,15,true,false,2025-01-01,https://fomodejavu.com/?ticker=SPY&date=2010-01-04&amount=5000&frequency=annual
inflation-1990-2025,"Inflation: $1,000 in 1990 Purchasing Power",USD,US Dollar (cash),inflation,1990-01-01,1000,N/A,405,-59.5,N/A,35,false,true,2025-01-01,https://fomodejavu.com/inflation/?amount=1000&year=1990
inflation-2020-2025,"Pandemic Inflation: $1,000 in Jan 2020 Purchasing Power",USD,US Dollar (cash),inflation,2020-01-01,1000,N/A,821,-17.9,N/A,5,false,true,2025-01-01,https://fomodejavu.com/inflation/?amount=1000&year=2020
